config,runId,provider,mode,flagshipModel,gateModel,totalInputTokens,totalOutputTokens,totalTokens,totalCostUsd,meanInvariantCount,totalMissingInvariants,totalContradictions,totalDriftScore,meanDriftScore,meanQualityScore,testsPassed,usedMockClients
baseline-openai,1,openai,baseline,gpt-5.4,,38223,8409,46632,0.2216925,4,0,0,0,0,9.82,true,false
baseline-openai,2,openai,baseline,gpt-5.4,,36776,8139,44915,0.214025,2.9,0,0,0,0,9.93,true,false
baseline-openai,3,openai,baseline,gpt-5.4,,34224,7600,41824,0.19956,1.5,0,0,0,0,9.71,true,false
baseline-openai,4,openai,baseline,gpt-5.4,,36386,8023,44409,0.21131,5,0,0,0,0,9.94,true,false
baseline-openai,5,openai,baseline,gpt-5.4,,32832,7392,40224,0.19296,4.8,0,0,0,0,9.71,true,false
baseline-openai,6,openai,baseline,gpt-5.4,,35509,7898,43407,0.2072425,2.1,0,0,0,0,9.65,true,false
baseline-openai,7,openai,baseline,gpt-5.4,,34613,7613,42226,0.2007275,2.1,0,0,0,0,9.94,true,false
baseline-openai,8,openai,baseline,gpt-5.4,,33690,7689,41379,0.19956,3.2,0,0,0,0,9.82,true,false
openai-nano,1,openai,cascade,gpt-5.4,gpt-5-nano,41431,11571,53002,0.0883926,0,0,0,0,0,9.82,true,false
openai-nano,2,openai,cascade,gpt-5.4,gpt-5-nano,51216,12766,63982,0.10993305,9.6,0,5,5,0.5,9.71,true,false
openai-nano,3,openai,cascade,gpt-5.4,gpt-5-nano,47087,12255,59342,0.1023556,11.4,0,7,7,0.7,9.88,true,false
openai-nano,4,openai,cascade,gpt-5.4,gpt-5-nano,49587,12536,62123,0.10591405,10.4,0,4,4,0.4,9.75,true,false
openai-nano,5,openai,cascade,gpt-5.4,gpt-5-nano,45790,12031,57821,0.0967086,4.4,0,0,0,0,9.71,true,false
openai-nano,6,openai,cascade,gpt-5.4,gpt-5-nano,45994,12044,58038,0.0978742,10.3,0,0,0,0,9.54,true,false
openai-nano,7,openai,cascade,gpt-5.4,gpt-5-nano,45595,12277,57872,0.09984495,1.9,0,2,2,0.2,9.49,true,false
openai-nano,8,openai,cascade,gpt-5.4,gpt-5-nano,42382,11652,54034,0.0904073,4.1,0,0,0,0,9.65,true,false
baseline-grok,1,xai,baseline,grok-4,,45920,8543,54463,0.20023,6.6,0,0,0,0,9.88,true,false
baseline-grok,2,xai,baseline,grok-4,,36456,6395,42851,0.15509,0,0,0,0,0,9.88,true,false
baseline-grok,3,xai,baseline,grok-4,,36272,6326,42598,0.15394,0,0,0,0,0,9.76,true,false
baseline-grok,4,xai,baseline,grok-4,,37885,6670,44555,0.1614125,1.8,0,0,0,0,9.82,true,false
baseline-grok,5,xai,baseline,grok-4,,40474,7405,47879,0.175235,3.6,0,0,0,0,9.88,true,false
baseline-grok,6,xai,baseline,grok-4,,43118,8141,51259,0.189205,8.4,0,0,0,0,9.8,true,false
baseline-grok,7,xai,baseline,grok-4,,46288,8611,54899,0.20183,6.6,0,0,0,0,9.81,true,false
baseline-grok,8,xai,baseline,grok-4,,46237,8608,54845,0.2016725,5.3,0,0,0,0,9.75,true,false
grok,1,xai,cascade,grok-4,grok-code-fast,53811,8866,62677,0.0934384,1.2,0,0,0,0,9.76,true,false
grok,2,xai,cascade,grok-4,grok-code-fast,54417,9506,63923,0.0974788,3.5,0,0,0,0,9.49,true,false
grok,3,xai,cascade,grok-4,grok-code-fast,60365,11067,71432,0.1069001,8,12,6,18,1.8,9.59,true,false
grok,4,xai,cascade,grok-4,grok-code-fast,53755,9593,63348,0.0950564,0,0,0,0,0,9.49,true,false
grok,5,xai,cascade,grok-4,grok-code-fast,54691,8886,63577,0.0941692,1.7,0,7,7,0.7,9.66,true,false
grok,6,xai,cascade,grok-4,grok-code-fast,58931,10514,69445,0.104428,2.8,25,0,25,2.5,9.65,true,false
grok,7,xai,cascade,grok-4,grok-code-fast,54966,8873,63839,0.0952654,2.9,0,9,9,0.9,9.6,true,false
grok,8,xai,cascade,grok-4,grok-code-fast,54192,9081,63273,0.0935026,1.4,2,0,2,0.2,9.71,true,false
