config,runId,step,stepNumber,stepTitle,modelRole,provider,requestedModel,actualMode,inputTokens,outputTokens,totalTokens,cost,estimatedCostUsd,invariantCount,missingInvariants,contradictions,driftScore,durationMs,qualityScore,judgeScoreStddev,testsPassed,success
baseline-openai,1,1,1,CLI skeleton + argument parsing,flagship,openai,gpt-5.4,live,113,591,704,0.0091475,0.0091475,0,0,0,0,10870,10,,true,true
baseline-openai,1,2,2,Task data model + JSON persistence,flagship,openai,gpt-5.4,live,723,799,1522,0.0137925,0.0137925,1,0,0,0,14702,9.4,,true,true
baseline-openai,1,3,3,"List, filter, and view tasks",flagship,openai,gpt-5.4,live,1549,870,2419,0.0169225,0.0169225,1,0,0,0,16206,10,,true,true
baseline-openai,1,4,4,Complete/delete commands + validation,flagship,openai,gpt-5.4,live,2441,879,3320,0.0192875,0.0192875,5,0,0,0,14440,10,,true,true
baseline-openai,1,5,5,Gate summarizer integration,flagship,openai,gpt-5.4,live,3340,887,4227,0.021655,0.021655,5,0,0,0,16258,10,,true,true
baseline-openai,1,6,6,AI-assisted decomposition,flagship,openai,gpt-5.4,live,4246,870,5116,0.023665,0.023665,5,0,0,0,16041,10,,true,true
baseline-openai,1,7,7,Code snippet generator,flagship,openai,gpt-5.4,live,5133,833,5966,0.0253275,0.0253275,5,0,0,0,15620,9.4,,true,true
baseline-openai,1,8,8,Automated tests,flagship,openai,gpt-5.4,live,5986,880,6866,0.028165,0.028165,5,0,0,0,15984,9.4,,true,true
baseline-openai,1,9,9,Refinement loop,flagship,openai,gpt-5.4,live,6886,900,7786,0.030715,0.030715,6,0,0,0,14086,10,,true,true
baseline-openai,1,10,10,Report export,flagship,openai,gpt-5.4,live,7806,900,8706,0.033015,0.033015,7,0,0,0,14576,10,,true,true
baseline-openai,2,1,1,CLI skeleton + argument parsing,flagship,openai,gpt-5.4,live,113,532,645,0.0082625,0.0082625,0,0,0,0,10222,10,,true,true
baseline-openai,2,2,2,Task data model + JSON persistence,flagship,openai,gpt-5.4,live,664,785,1449,0.013435,0.013435,2,0,0,0,14395,10,,true,true
baseline-openai,2,3,3,"List, filter, and view tasks",flagship,openai,gpt-5.4,live,1476,839,2315,0.016275,0.016275,3,0,0,0,16539,10,,true,true
baseline-openai,2,4,4,Complete/delete commands + validation,flagship,openai,gpt-5.4,live,2337,900,3237,0.0193425,0.0193425,3,0,0,0,16076,10,,true,true
baseline-openai,2,5,5,Gate summarizer integration,flagship,openai,gpt-5.4,live,3258,739,3997,0.01923,0.01923,3,0,0,0,14910,10,,true,true
baseline-openai,2,6,6,AI-assisted decomposition,flagship,openai,gpt-5.4,live,4016,900,4916,0.02354,0.02354,3,0,0,0,14572,10,,true,true
baseline-openai,2,7,7,Code snippet generator,flagship,openai,gpt-5.4,live,4934,805,5739,0.02441,0.02441,3,0,0,0,14456,10,,true,true
baseline-openai,2,8,8,Automated tests,flagship,openai,gpt-5.4,live,5759,900,6659,0.0278975,0.0278975,3,0,0,0,15661,9.3,,true,true
baseline-openai,2,9,9,Refinement loop,flagship,openai,gpt-5.4,live,6681,839,7520,0.0292875,0.0292875,3,0,0,0,15341,10,,true,true
baseline-openai,2,10,10,Report export,flagship,openai,gpt-5.4,live,7538,900,8438,0.032345,0.032345,6,0,0,0,15518,10,,true,true
baseline-openai,3,1,1,CLI skeleton + argument parsing,flagship,openai,gpt-5.4,live,113,495,608,0.0077075,0.0077075,0,0,0,0,10633,10,,true,true
baseline-openai,3,2,2,Task data model + JSON persistence,flagship,openai,gpt-5.4,live,627,679,1306,0.0117525,0.0117525,0,0,0,0,13602,10,,true,true
baseline-openai,3,3,3,"List, filter, and view tasks",flagship,openai,gpt-5.4,live,1333,833,2166,0.0158275,0.0158275,0,0,0,0,14579,10,,true,true
baseline-openai,3,4,4,Complete/delete commands + validation,flagship,openai,gpt-5.4,live,2188,777,2965,0.017125,0.017125,1,0,0,0,14503,10,,true,true
baseline-openai,3,5,5,Gate summarizer integration,flagship,openai,gpt-5.4,live,2985,680,3665,0.0176625,0.0176625,1,0,0,0,15731,8.9,,true,true
